epoch, val.encoder_mse, val.decoder_loss, val.decoder_acc, val.cover_score, val.generated_score, val.ssim, val.psnr, val.bpp, train.encoder_mse, train.decoder_loss, train.decoder_acc, train.cover_score, train.generated_score, epoch
1, 0.0793936213105917, 0.27469276800751685, 0.9979020005464554, 0.09913954630494118, 0.0987769629061222, 0.48642965763807294, 24.672878134232064, 2.9874120032787324, 0.08746711960993707, 1.1408888977393508, 0.9445819658041, 0.06575954940170049, 0.07933114377781748, 1
2, 0.08230500634759665, 0.10096195332705975, 0.9992519062757492, 0.1599603845179081, 0.1557162433862686, 0.5781068021059036, 24.406956051864718, 2.9955114376544953, 0.063529356662184, 0.13978666035458445, 0.999169151186943, 0.13285891968756913, 0.141197438146919, 2
3, 0.042919747568666934, 0.045522516202181576, 0.9998465675115585, 0.3884980633854866, 0.37818263232707977, 0.7248656976222992, 27.883997452701564, 2.999079405069351, 0.047203567274846134, 0.05345983617939055, 0.9998533418774604, 0.2124677339196205, 0.28187075927853583, 3
4, 0.051851570401340724, 0.03497243221849203, 0.9997339171171188, 1.3700874996185304, 1.3684005749225616, 0.7296904796361923, 26.632370917795175, 2.998403502702713, 0.040856481748633086, 0.038003364852629604, 0.9998270355165004, 0.8133552151173353, 0.9251069191843271, 4
5, 0.03152715664356947, 0.023838414438068868, 0.9999287086725235, 2.528021478652954, 2.523926200866699, 0.7895301973819733, 29.69030482071266, 2.999572252035141, 0.033753864979371426, 0.02369140726979822, 0.999934042096138, 2.0134892216324807, 2.063169360756874, 5
6, 0.027804879667237402, 0.019392323531210422, 0.999929103255272, 2.9302154397964477, 2.927182252407074, 0.7953172075748444, 30.256973048847826, 2.9995746195316313, 0.030791693816427143, 0.017133734289091082, 0.9999695140123367, 2.79814350605011, 2.8893535810709, 6
7, 0.038832603227347134, 0.019063576515764, 0.999894991517067, 2.9548392057418824, 2.9162181615829468, 0.7804033762216568, 28.464907187222224, 2.9993699491024017, 0.03192764775594696, 0.017291720607317984, 0.999899978339672, 2.9382207667827607, 2.9538426041603087, 7
8, 0.027053589513525367, 0.014043673533014953, 0.999949830174446, 2.9765095567703246, 2.97075412273407, 0.793619481921196, 30.35473055409358, 2.9996989810466768, 0.02996471481397748, 0.01768788803368807, 0.9998817658424377, 2.9743640810251235, 3.1466063219308853, 8
9, 0.029507254958152773, 0.014274388342164457, 0.9999130046367646, 2.9665067052841185, 2.9326110458374024, 0.834020082950592, 29.77230476021145, 2.999478027820587, 0.030037867825012655, 0.013842741920379922, 0.9999013416469097, 2.9608771431446077, 2.9648746180534364, 9
10, 0.02763137087225914, 0.013742889892309904, 0.9999152565002442, 2.975855140686035, 2.966496343612671, 0.8289347445964813, 30.502473081255726, 2.9994915390014647, 0.026388756416272374, 0.012790365838445722, 0.9998707470297813, 2.97549099445343, 3.1343487131595613, 10
11, 0.023263234430924058, 0.011821499899961055, 0.9999399870634079, 2.9762448358535765, 2.966453745365143, 0.8681413394212723, 31.04685022491024, 2.9996399223804473, 0.023663889945019036, 0.007901555493008345, 0.9999649296700954, 2.977761042714119, 3.0562560898065567, 11
12, 0.027393245957791804, 0.014482734138146042, 0.9999471509456634, 2.976844673156738, 2.96107745885849, 0.8473124134540558, 30.96071840469112, 2.9996829056739807, 0.021279507556464523, 0.008026455749641172, 0.9999484641849995, 2.976467944383621, 3.08529712498188, 12
13, 0.02071380858309567, 0.008726330469362437, 0.9999642741680145, 2.9770272731781007, 2.9694051241874693, 0.8544487643241883, 32.08410707079361, 2.999785645008087, 0.022005100823007523, 0.00935865261417348, 0.9998914033174515, 2.977614793777466, 3.0932839184999468, 13
14, 0.030005452670156956, 0.017177772764116524, 0.9998273396492005, 2.9653786396980286, 2.9253708696365357, 0.840877178311348, 29.938704890623786, 2.9989640378952025, 0.022823425135575236, 0.009378624785458669, 0.9999319253861905, 2.9522980105876924, 2.953111985325813, 14
15, 0.0205389663297683, 0.008165545507799833, 0.9999581998586655, 2.9765744018554687, 2.9698180317878724, 0.8507097166776657, 32.10150766185949, 2.9997491991519927, 0.02158985128859058, 0.00562134690291714, 0.9999761179089546, 2.975044711828232, 3.1455459702014923, 15
16, 0.024434338910505175, 0.013282958697527648, 0.9998483097553253, 2.9630527305603027, 2.919007577896118, 0.8785014986991883, 30.899254720938856, 2.999089858531952, 0.02109658731846139, 0.0057025136481388475, 0.9999599140882492, 2.963465072512627, 2.968117188811302, 16
17, 0.023530223509296774, 0.011482979846186936, 0.9998424220085144, 2.9752466225624086, 2.9575881910324098, 0.8840143942832946, 30.59338559391965, 2.9990545320510864, 0.01943818009691313, 0.005406079048116226, 0.9999540846049786, 2.9757664984464647, 3.157048180103302, 17
18, 0.01989856293424964, 0.008657017974182963, 0.9999300467967988, 2.9786036658287047, 2.9712097096443175, 0.8746671909093857, 32.40768880706775, 2.9995802807807923, 0.021262239762581885, 0.011248799979221076, 0.9999036665260792, 2.9814227628707886, 3.103405126929283, 18
19, 0.023094147965312003, 0.010508156155701727, 0.9998624891042709, 2.9727989196777345, 2.9472337889671327, 0.8881782174110413, 31.105587350629445, 2.999174934625626, 0.020878475904464722, 0.004447026732959785, 0.9999642270803452, 2.973046454191208, 2.9956515622138977, 19
